,heading,latitude,longitude,traceid,sampledate,speed
0,250.0,53.504912,10.220089,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:30:19,44.0
1,246.0,53.504616,10.218521,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:30:29,35.0
2,257.0,53.504474,10.217441,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:30:38,22.0
3,269.0,53.504402,10.216224,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:30:49,38.0
4,267.0,53.504263,10.214396,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:30:59,43.0
5,267.0,53.504172,10.212683,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:31:09,31.0
6,249.0,53.504088,10.211604,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:31:19,27.0
7,283.0,53.504035,10.210706,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:31:28,17.0
8,195.0,53.503941,10.210465,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:31:33,2.0
9,184.0,53.503915,10.210464,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:31:39,3.0
10,178.0,53.503296,10.210586,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:31:49,37.0
11,179.0,53.502206,10.210587,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:31:59,48.0
12,152.0,53.501128,10.211089,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:32:08,53.0
13,208.0,53.499928,10.210786,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:32:19,27.0
14,198.0,53.499495,10.210477,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:32:29,27.0
15,188.0,53.499171,10.210365,CuYqXoKtTfWbzQi9nvwEQ,2024-07-10 05:32:33,40.0
16,5.0,53.498721499999995,10.21037335,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:18,16.0
17,5.0,53.498757633333334,10.210375783333332,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:19,12.0
18,5.0,53.49878026666667,10.2103773,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:20,6.0
19,5.0,53.49879216666667,10.210378383333332,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:21,4.0
20,5.0,53.49879953333334,10.21037905,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:22,1.0
21,5.0,53.49879485,10.210381066666669,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:34,1.0
22,5.0,53.498805233333336,10.210381816666668,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:35,6.0
23,5.0,53.498830883333326,10.210384833333332,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:36,14.0
24,5.0,53.49887238333334,10.21039045,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:37,18.0
25,5.0,53.49892191666666,10.210397583333334,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:38,20.0
26,5.0,53.49897598333333,10.21040605,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:39,23.0
27,5.0,53.49903968333333,10.210416933333333,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:40,27.0
28,8.0,53.49911151666667,10.2104311,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:41,31.0
29,8.0,53.499191483333334,10.210451133333336,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:42,33.0
30,9.0,53.49927361666667,10.21047695,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:43,34.0
31,9.0,53.499358616666655,10.21051065,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:44,36.0
32,16.0,53.49944686666666,10.210551883333332,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:45,38.0
33,18.0,53.49953681666666,10.210600166666667,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:46,38.0
34,22.0,53.4996223,10.2106544,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:47,35.0
35,23.0,53.49970135,10.21070905,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:48,33.0
36,25.0,53.49977838333332,10.210765466666668,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:49,34.0
37,27.0,53.49985641666667,10.210828583333337,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:50,35.0
38,29.0,53.49993495,10.210897566666668,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:51,35.0
39,30.0,53.50001046666666,10.21096905,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:52,33.0
40,30.0,53.50007928333333,10.211037616666664,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:53,30.0
41,30.0,53.50014290000001,10.211100483333333,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:54,28.0
42,27.0,53.50020443333333,10.211160083333334,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:55,28.0
43,27.0,53.50026788333333,10.211217166666668,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:56,29.0
44,26.0,53.500334599999995,10.211270133333333,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:57,29.0
45,24.0,53.50040458333333,10.211314816666668,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:58,30.0
46,13.0,53.50047259618941,10.211384587771114,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:50:59,30.0
47,9.0,53.50055173324533,10.211414736957815,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:51:00,32.0
48,1.0,53.500639455709354,10.21143078960125,1DgFrzyTRvWf9zdAmtsVQ,2024-07-10 05:51:01,34.0
49,130.0,53.50051993333334,10.204903333333334,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:36:57,25.0
50,131.0,53.50047743333333,10.204982533333334,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:36:58,25.0
51,130.0,53.50043795,10.205056716666666,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:36:59,22.0
52,129.0,53.5004051,10.205119333333332,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:00,17.0
53,129.0,53.50038263333333,10.205165266666668,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:01,10.0
54,129.0,53.50037021666667,10.205194516666667,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:02,6.0
55,129.0,53.50036185,10.205217233333332,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:03,6.0
56,129.0,53.500355549999995,10.205245816666668,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:04,7.0
57,78.0,53.50035648333334,10.205283783333334,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:05,9.0
58,51.0,53.500339183273994,10.20528901951779,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:06,13.0
59,29.0,53.500388048780025,10.205418967930594,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:07,18.0
60,29.0,53.50043309891367,10.205461756422132,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:08,21.0
61,29.0,53.5004833927491,10.205509525368068,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:09,23.0
62,29.0,53.500538474636286,10.205561841992433,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:10,25.0
63,30.0,53.50059769460083,10.20561832277008,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:11,28.0
64,30.0,53.50066090124456,10.205679981716136,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:12,29.0
65,30.0,53.500727473437706,10.205744923801667,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:13,30.0
66,30.0,53.50079355095897,10.20580938332814,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:14,30.0
67,30.0,53.500859826102904,10.205874035638216,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:15,30.0
68,29.0,53.500925720729455,10.205938084898245,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:16,29.0
69,29.0,53.5009864021228,10.205996278230195,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:17,26.0
70,29.0,53.501038238334466,10.206045858306638,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:18,21.0
71,29.0,53.501082706261045,10.20608806192919,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:19,18.0
72,52.0,53.50110939329105,10.20609214196825,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:20,17.0
73,68.0,53.50112664990256,10.206131506395783,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:21,17.0
74,71.0,53.5011435720018,10.206199335687163,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:22,17.0
75,131.0,53.501166833333336,10.206270083333331,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:23,21.0
76,131.0,53.50113506666667,10.206360766666668,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:24,25.0
77,130.0,53.50108863333333,10.206452966666664,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:25,29.0
78,130.0,53.5010365,10.206553466666666,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:26,31.0
79,129.0,53.50098353333333,10.206663016666663,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:27,33.0
80,129.0,53.50092786666667,10.2067797,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:28,35.0
81,129.0,53.50087019999999,10.206905433333333,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:29,38.0
82,130.0,53.50080934999999,10.207033916666669,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:30,38.0
83,130.0,53.50074825,10.2071594,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:31,37.0
84,130.0,53.500687150000005,10.20728035,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:32,36.0
85,132.0,53.50062436666667,10.207395933333332,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:33,36.0
86,138.0,53.50055705,10.207507166666666,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:34,38.0
87,141.0,53.50048288333334,10.2076147,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:35,39.0
88,146.0,53.500402666666666,10.20771595,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:36,40.0
89,146.0,53.500317583333334,10.207809916666667,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:37,40.0
90,150.0,53.5002305,10.207899266666669,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:38,40.0
91,150.0,53.500142649999994,10.20798585,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:39,40.0
92,147.0,53.50005564999999,10.208070433333331,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:40,39.0
93,147.0,53.4999699,10.208153916666664,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:41,39.0
94,149.0,53.49988306666667,10.208236466666666,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:42,40.0
95,149.0,53.499794216666665,10.208320883333332,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:43,41.0
96,154.0,53.49970268333333,10.208402766666667,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:44,41.0
97,155.0,53.499610233333335,10.208477866666668,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:45,40.0
98,160.0,53.499516449999994,10.20854115,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:46,40.0
99,163.0,53.49942038333334,10.208588266666668,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:47,40.0
100,173.0,53.4993229,10.208619266666666,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:48,39.0
101,177.0,53.49922433333333,10.20863395,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:49,39.0
102,182.0,53.49912609999999,10.208634533333331,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:50,39.0
103,187.0,53.49902794999999,10.208623633333334,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:51,39.0
104,192.0,53.49892996666667,10.208599333333332,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:52,40.0
105,193.0,53.49883273333333,10.208560766666666,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:53,40.0
106,195.0,53.498735833333335,10.2085155,jEtp10j1QdAMv7dEPEj5w,2024-07-10 04:37:54,40.0
107,245.0,53.50502241,10.22066959,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:23,37.0
108,246.0,53.50498426,10.22052555,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:24,36.0
109,246.0,53.50494706,10.220384,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:25,36.0
110,249.0,53.50491456,10.22024771,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:26,35.0
111,252.0,53.50488561,10.22010523,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:27,35.0
112,251.0,53.50485822,10.21996749,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:28,35.0
113,250.0,53.50482664,10.2198217,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:29,35.0
114,249.0,53.50479575,10.21968477,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:30,35.0
115,250.0,53.50476566,10.21954237,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:31,36.0
116,251.0,53.50473629,10.21939483,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:32,37.0
117,252.0,53.50470895,10.21924928,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:33,37.0
118,254.0,53.50468367,10.21910075,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:34,36.0
119,254.0,53.50465934,10.21896109,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:35,34.0
120,254.0,53.50463768,10.21883002,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:36,32.0
121,255.0,53.50461633,10.21869876,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:37,31.0
122,255.0,53.50459622,10.21857108,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:38,31.0
123,255.0,53.5045764,10.2184484,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:39,30.0
124,255.0,53.50455634,10.21832359,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:40,29.0
125,255.0,53.5045373,10.21820447,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:41,28.0
126,255.0,53.50451953,10.21809252,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:42,27.0
127,255.0,53.50450267,10.21798411,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:43,27.0
128,255.0,53.50448574,10.21787667,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:44,26.0
129,255.0,53.50446724,10.21776596,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:45,26.0
130,255.0,53.50445093,10.21765845,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:46,25.0
131,256.0,53.50443525,10.21755435,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:47,26.0
132,256.0,53.50442009,10.21744362,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:48,27.0
133,257.0,53.5044051,10.21732524,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:49,29.0
134,258.0,53.50438924,10.21720174,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:50,31.0
135,258.0,53.50437262,10.2170678,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:51,34.0
136,259.0,53.50435541,10.21691839,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:52,36.0
137,260.0,53.50433956,10.216765,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:53,36.0
138,261.0,53.50432408,10.21661182,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:54,37.0
139,261.0,53.5043099,10.21645149,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:55,40.0
140,262.0,53.50429415,10.21627975,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:56,41.0
141,263.0,53.50428112,10.21610509,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:57,41.0
142,264.0,53.50427123,10.2159375,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:58,40.0
143,264.0,53.50426063,10.21576732,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:09:59,42.0
144,264.0,53.50424996,10.21557837,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:00,46.0
145,265.0,53.50423876,10.21537377,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:01,49.0
146,266.0,53.50422953,10.21516898,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:02,48.0
147,266.0,53.50422192,10.21497446,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:03,46.0
148,266.0,53.50421397,10.21478008,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:04,43.0
149,266.0,53.50420722,10.2146054,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:05,41.0
150,266.0,53.50420105,10.21444101,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:06,39.0
151,266.0,53.50419503,10.21428164,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:07,38.0
152,266.0,53.5041886,10.2141284,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:08,37.0
153,265.0,53.50418074,10.21397006,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:09,37.0
154,264.0,53.50417201,10.21381088,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:10,37.0
155,264.0,53.50416533,10.21365231,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:11,38.0
156,264.0,53.50415618,10.21349138,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:12,37.0
157,264.0,53.50414787,10.21333504,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:13,36.0
158,264.0,53.50414004,10.21318255,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:14,36.0
159,265.0,53.50413224,10.21303112,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:15,37.0
160,265.0,53.50412484,10.2128815,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:16,35.0
161,265.0,53.50411789,10.21274385,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:17,31.0
162,265.0,53.50411185,10.21262048,FIWmFOAUR2KRAksjuzvaA,2024-07-10 05:10:18,28.0
