,heading,latitude,longitude,traceid,sampledate,speed
0,135.0,53.440944,10.303418,Va7cRBotRYehA3DfajCNg,2024-07-13 09:07:38,8.0
1,194.0,53.440424,10.303311,Va7cRBotRYehA3DfajCNg,2024-07-13 09:07:48,31.0
2,186.0,53.439745,10.303109,Va7cRBotRYehA3DfajCNg,2024-07-13 09:07:58,11.0
3,183.0,53.439678,10.3031,Va7cRBotRYehA3DfajCNg,2024-07-13 09:08:02,1.0
4,184.0,53.439125,10.303076,Va7cRBotRYehA3DfajCNg,2024-07-13 09:08:31,34.0
5,185.0,53.438054,10.30291,Va7cRBotRYehA3DfajCNg,2024-07-13 09:08:41,48.0
6,180.0,53.44339500447425,10.310042226479244,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:26:24,27.0
7,177.0,53.44333006580469,10.310047401994746,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:26:25,25.0
8,177.0,53.44327168333065,10.3100780328914,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:26:26,24.0
9,177.0,53.44321583204578,10.310076975450318,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:26:27,22.0
10,177.0,53.44316770116397,10.310064200030045,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:26:28,19.0
11,181.0,53.44313488292467,10.31004175573866,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:26:29,15.0
12,181.0,53.4431119692527,10.310035509435671,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:26:30,10.0
13,181.0,53.443101407777064,10.310037321284172,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:26:31,4.0
14,262.0,53.44187990821712,10.30648710550295,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:29:10,23.0
15,262.0,53.44187736841662,10.306403067285542,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:29:11,22.0
16,261.0,53.441875937813506,10.306327320525698,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:29:12,20.0
17,261.0,53.441873461514525,10.306269989405894,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:29:13,16.0
18,259.0,53.44186742854299,10.306234650230891,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:29:14,11.0
19,259.0,53.44186611016739,10.30623390335406,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:29:15,3.0
20,259.0,53.44186077874251,10.306229676333595,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:14,4.0
21,259.0,53.44185163896559,10.306194181472629,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:15,8.0
22,257.0,53.44184295313813,10.306144849089398,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:16,11.0
23,254.0,53.44183190479079,10.306079586954212,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:17,14.0
24,254.0,53.44182221205858,10.30601236552836,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:18,15.0
25,253.0,53.44180944483819,10.305938583480676,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:19,17.0
26,253.0,53.44179621455629,10.305866064748349,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:20,17.0
27,252.0,53.44178382974413,10.305800120934256,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:21,17.0
28,252.0,53.44177091838572,10.30572975701598,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:22,17.0
29,252.0,53.441756408789935,10.305651403645356,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:23,17.0
30,251.0,53.44174614974181,10.305582141440564,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:24,16.0
31,251.0,53.44173486762089,10.305514004599257,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:25,16.0
32,251.0,53.44172145843071,10.305443216495291,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:26,15.0
33,251.0,53.44171049893493,10.305378382805417,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:27,14.0
34,251.0,53.44170031640024,10.305326749295329,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:28,12.0
35,251.0,53.44169088396645,10.305281947453857,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:29,9.0
36,251.0,53.44168281650081,10.305243986725712,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:30,8.0
37,251.0,53.44167284800118,10.30519719789365,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:31,10.0
38,252.0,53.44166109745958,10.305140667234674,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:32,11.0
39,252.0,53.441648659371126,10.30509011120984,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:33,11.0
40,223.0,53.44162075729367,10.305070037021832,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:34,10.0
41,190.0,53.441578619255814,10.30507990527957,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:35,12.0
42,164.0,53.44154439108564,10.30511556607008,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:36,13.0
43,154.0,53.44151709628626,10.305149283104967,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:37,12.0
44,158.0,53.44147478879228,10.30515023917419,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:38,13.0
45,196.0,53.44143147938781,10.305110033249775,JdkuiAWReKl0xDXDfwgqQ,2024-07-13 06:30:39,16.0
