,latitude,longitude,traceid,sampledate,heading,speed
0,53.445617,10.31081,792VEa7kSiu5yi6sPtQp5A,2024-07-10 09:47:10,191.0,31.0
1,53.444893,10.310674,792VEa7kSiu5yi6sPtQp5A,2024-07-10 09:47:20,186.0,32.0
2,53.444198,10.310438,792VEa7kSiu5yi6sPtQp5A,2024-07-10 09:47:30,193.0,14.0
3,53.444128,10.309917,792VEa7kSiu5yi6sPtQp5A,2024-07-10 09:47:40,303.0,21.0
4,53.44445,10.308965,792VEa7kSiu5yi6sPtQp5A,2024-07-10 09:47:50,301.0,29.0
5,53.444861,10.307973,792VEa7kSiu5yi6sPtQp5A,2024-07-10 09:48:00,316.0,30.0
6,53.445384,10.307116,792VEa7kSiu5yi6sPtQp5A,2024-07-10 09:48:10,323.0,28.0
7,53.44594,10.306535,792VEa7kSiu5yi6sPtQp5A,2024-07-10 09:48:20,340.0,29.0
8,53.445349,10.310929,Sjf33VTISlauzhqxMn29fg,2024-07-10 11:43:21,182.0,31.0
9,53.444641,10.310754,Sjf33VTISlauzhqxMn29fg,2024-07-10 11:43:30,190.0,30.0
10,53.444102,10.310478,Sjf33VTISlauzhqxMn29fg,2024-07-10 11:43:40,257.0,10.0
11,53.444302,10.309576,Sjf33VTISlauzhqxMn29fg,2024-07-10 11:43:50,304.0,28.0
12,53.444471,10.308874,Sjf33VTISlauzhqxMn29fg,2024-07-10 11:44:00,302.0,2.0
13,53.444472,10.308856,Sjf33VTISlauzhqxMn29fg,2024-07-10 11:44:01,303.0,0.0
14,53.446223,10.310778,oWWkzAHoSLusQVhguVNxFA,2024-07-10 10:49:06,193.0,31.0
15,53.445376,10.31052,oWWkzAHoSLusQVhguVNxFA,2024-07-10 10:49:16,187.0,32.0
16,53.444645,10.310397,oWWkzAHoSLusQVhguVNxFA,2024-07-10 10:49:26,184.0,31.0
17,53.444075,10.310145,oWWkzAHoSLusQVhguVNxFA,2024-07-10 10:49:36,220.0,7.0
18,53.444183,10.309582,oWWkzAHoSLusQVhguVNxFA,2024-07-10 10:49:46,307.0,25.0
19,53.444463,10.308669,oWWkzAHoSLusQVhguVNxFA,2024-07-10 10:49:56,304.0,26.0
20,53.444857,10.307868,oWWkzAHoSLusQVhguVNxFA,2024-07-10 10:50:06,318.0,26.0
21,53.445312,10.307067,oWWkzAHoSLusQVhguVNxFA,2024-07-10 10:50:16,315.0,29.0
22,53.445914,10.30644,oWWkzAHoSLusQVhguVNxFA,2024-07-10 10:50:26,342.0,29.0
23,53.440826666666666,10.303553333333332,2jSVYgTyTgO6WLXF8xnzDw,2024-07-10 07:11:31,146.0,20.0
24,53.441221666666664,10.304436666666668,2jSVYgTyTgO6WLXF8xnzDw,2024-07-10 07:11:32,58.0,39.0
25,53.44126833333333,10.304595,2jSVYgTyTgO6WLXF8xnzDw,2024-07-10 07:11:33,61.0,43.0
26,53.44158833333333,10.306083333333332,2jSVYgTyTgO6WLXF8xnzDw,2024-07-10 07:11:34,76.0,56.0
27,53.44196333333333,10.309191666666669,2jSVYgTyTgO6WLXF8xnzDw,2024-07-10 07:11:35,54.0,54.0
28,53.443214999999995,10.310143333333334,2jSVYgTyTgO6WLXF8xnzDw,2024-07-10 07:11:36,359.0,57.0
29,53.44378333333334,10.310171666666667,2jSVYgTyTgO6WLXF8xnzDw,2024-07-10 07:11:37,8.0,56.0
30,53.445123333333335,10.310601666666669,2jSVYgTyTgO6WLXF8xnzDw,2024-07-10 07:11:38,11.0,56.0
31,53.44613635339458,10.31079073896282,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:25:50,189.0,45.0
32,53.44602191951109,10.31076206848224,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:25:51,189.0,45.0
33,53.445910563341,10.310732361689258,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:25:52,189.0,45.0
34,53.445796172984686,10.31069158706926,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:25:53,190.0,45.0
35,53.44568649020428,10.310658239200547,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:25:54,190.0,44.0
36,53.445581058083,10.31062907446142,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:25:55,189.0,42.0
37,53.44548496095134,10.310596337200446,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:25:56,190.0,40.0
38,53.445282644593405,10.310552155859154,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:25:57,189.0,41.0
39,53.445282644593405,10.310552155859154,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:25:58,189.0,41.0
40,53.44517333351325,10.310516344808214,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:25:59,189.0,42.0
41,53.4447296019218,10.31039375219948,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:26:02,189.0,45.0
42,53.4447296019218,10.31039375219948,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:26:03,189.0,45.0
43,53.44461354078336,10.310372470265316,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:26:04,188.0,46.0
44,53.444500046570624,10.310334305834258,GAUp1meAQZKbQV8oSvpOpA,2024-07-10 11:26:05,189.0,46.0
